ticker,strategy,policy,total_return,sharpe_ratio,max_drawdown,volatility,win_rate,profit_factor,transaction_costs,net_total_return,optimization_improvement,rebalance_frequency,num_trades
MSFT,delta_neutral_MSFT,delta_neutral,0.568708659815236,0.7454464723300576,-0.271501223761783,0.17088202565436625,0.5228628230616302,1.1292946814696043,6.222962172162613,0.5680863635980198,10.0,daily,1006
MSFT,gamma_scaled_MSFT,gamma_scaled,-0.6148187471555742,-0.1233852363220561,-0.7379729911953488,0.5460925113128801,0.5188866799204771,0.9258659591857854,17.835960089945363,-0.6166023431645687,24.0,daily,1006
AMZN,delta_neutral_AMZN,delta_neutral,0.35456854083621536,0.48805337490807704,-0.37999382425451284,0.19444327370364012,0.5178926441351889,1.0824285986991902,7.662334647025441,0.3538023073715128,10.0,daily,1006
AMZN,gamma_scaled_AMZN,gamma_scaled,-0.7576133798384714,-0.26456270220640177,-0.8664036451810111,0.5898252369174616,0.5079522862823062,0.8754797978306699,22.971710124168425,-0.7599105508508883,24.0,daily,1006
TSLA,delta_neutral_TSLA,delta_neutral,2.668245005174182,1.1214288090145264,-0.5563245625909445,0.34274935645138543,0.536779324055666,1.2104478699721914,14.820978696848227,2.666762907304497,10.0,daily,1006
TSLA,gamma_scaled_TSLA,gamma_scaled,-1.0000007289722317,-0.7064491979964543,-8.252481724048922,2.087545729948431,0.5029821073558648,0.7578334301334568,70.89043629576697,-1.0070897726018084,24.0,daily,1006
GOOGL,delta_neutral_GOOGL,delta_neutral,0.6571695355058298,0.8106338709356593,-0.28538877098216153,0.1749886561467098,0.5337972166998012,1.1394910445083235,6.517261727276893,0.6565178093331021,10.0,daily,1006
GOOGL,gamma_scaled_GOOGL,gamma_scaled,-0.2967927125811589,-0.021769052646904607,-0.8013393246152196,0.40459708330123584,0.5288270377733598,0.9902221532142114,18.6680409547523,-0.29865951667663415,24.0,daily,1006
AAPL,delta_neutral_AAPL,delta_neutral,0.64927765523043,0.8014719943850638,-0.17523379768648595,0.17560916015225936,0.5238568588469185,1.1390359658750009,6.412868622942567,0.6486363683681358,10.0,daily,1006
AAPL,gamma_scaled_AAPL,gamma_scaled,-0.5681367421056434,-0.15434119972641766,-0.7898197662042903,0.49970484498914314,0.5188866799204771,0.9196833653537778,18.747370248718507,-0.5700114791305152,24.0,daily,1006
