trade_size,linear_cost,proportional_cost,market_impact_cost
1000,10.0,0.1,0.2000316227766017
5000,50.0,0.5,1.0003535533905932
10000,100.0,1.0,2.001
25000,250.0,2.5,5.003952847075211
50000,500.0,5.0,10.011180339887499
