date,open,high,low,close,volume,split_ratio,daily_return,log_return,ma_5,ma_20,ma_50,volatility_20,momentum_10,momentum_20,price_range,true_range
2020-01-02,28.299999237060547,28.713333129882812,28.11400032043457,28.68400001525879,142981500,0.0,,,,,,,,,0.020894324680289362,
2020-01-03,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,266677500,0.0,0.02963325829792085,0.02920267893223429,,,,,,,0.03855441652530863,1.5826663970947266
2020-01-06,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,151995000,0.0,0.01925463704513497,0.019071612174755247,,,,,,,0.025601320756761286,0.7706680297851562
2020-01-07,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,268231500,0.0,0.03880052465815398,0.03806670586808656,,,,,,,0.038950193765292546,1.3393325805664062
2020-01-08,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,467164500,0.0,0.04920482578812169,0.048032568493066904,30.48013343811035,,,,,,0.061486529694434335,2.017332077026367
2020-01-09,33.13999938964844,33.253334045410156,31.524667739868164,32.089332580566406,426606000,0.0,-0.021945011900097344,-0.022189385476863444,31.161199951171874,,,,,,0.05387043501767588,1.7286663055419922
2020-01-10,32.11933135986328,32.3293342590332,31.579999923706055,31.876667022705078,194392500,0.0,-0.006627297633174267,-0.006649355680979626,31.629733276367187,,,,,,0.023507298764748944,0.7493343353271484
2020-01-13,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,397764000,0.0,0.09768895885093332,0.09320702322102224,32.60733299255371,,,,,,0.06407424814335488,3.165332794189453
2020-01-14,36.284000396728516,36.49399948120117,34.99333190917969,35.861331939697266,434943000,0.0,0.024882822120200876,0.024578286172624794,33.52546615600586,,,,,,0.04184639807982973,1.5033340454101562
2020-01-15,35.31733322143555,35.85599899291992,34.452667236328125,34.56666564941406,260532000,0.0,-0.03610201351305786,-0.03676981311758122,33.876932525634764,,,,,,0.04059783407589342,1.4086647033691406
